SRR,Directory
SRR26146364,SRR26146364_Metagenome_of_seawater:_Magnetic_Island_replicate_1
SRR26146365,SRR26146365_Metagenome_of_seawater:_Pelorus_Island_replicate_1
SRR26146374	,SRR26146374	_Metagenome_of_Acropora_kenti:_Magnetic_Island_replicate_1
SRR26146375	,SRR26146375	_Metagenome_of_Acropora_kenti:_Pandora_Reef_replicate_4
SRR26146363,SRR26146363_Metagenome_of_Acropora_kenti:_Fitzroy_Island_replicate_4
SRR26146378,SRR26146378_Metagenome_of_Acropora_kenti:_Pandora_Reef_replicate_1
SRR26146359,SRR26146359_Metagenome_of_Acropora_kenti:_Russell_Island_replicate_4
SRR26146372,SRR26146372_Metagenome_of_Acropora_kenti:_Fitzroy_Island_replicate_3
SRR26146381,SRR26146381_Metagenome_of_Acropora_kenti:_Pelorus_Island_replicate_1
SRR26146383,SRR26146383_Metagenome_of_Acropora_kenti:_Fitzroy_Island_replicate_2
SRR26146382,SRR26146382_Metagenome_of_Acropora_kenti:_Dunk_Island_replicate_4
SRR26146358,SRR26146358_Metagenome_of_Acropora_kenti:_Dunk_Island_replicate_2
SRR26146377,SRR26146377_Metagenome_of_Acropora_kenti:_Pandora_Reef_replicate_2
SRR26146370	,SRR26146370	_Metagenome_of_Acropora_kenti:_Magnetic_Island_replicate_4
SRR26146361,SRR26146361_Metagenome_of_Acropora_kenti:_Russell_Island_replicate_2
SRR26146360,SRR26146360_Metagenome_of_Acropora_kenti:_Russell_Island_replicate_3
SRR9182861,"SRR9182861_Porites_lutea,_replicate_2,_soil_extraction"
SRR26146371,SRR26146371_Metagenome_of_Acropora_kenti:_Magnetic_Island_replicate_3
SRR9182866,"SRR9182866_Porites_lutea,_replicate_3,_plant_extraction"
SRR26146380	,SRR26146380	_Metagenome_of_Acropora_kenti:_Pelorus_Island_replicate_2
SRR9182856,"SRR9182856_Porites_lutea,_replicate_3,_ultraclean_extraction"
SRR9182864	,"SRR9182864	_Porites_lutea,_replicate_3,_soil_extraction"
SRR26146367,SRR26146367_Metagenome_of_seawater:_Russell_Island_replicate_1
SRR9182863,"SRR9182863_Porites_lutea,_replicate_1,_phenol_extraction"
SRR26146369	,SRR26146369	_Metagenome_of_seawater:_Fitzroy_Island_replicate_1
SRR26146357,SRR26146357_Metagenome_of_Acropora_kenti:_Dunk_Island_replicate_3
SRR9182870,"SRR9182870_Porites_lutea,_replicate_1,_plant_extraction"
SRR26146368,SRR26146368_Metagenome_of_seawater:_Dunk_Island_replicate_1
SRR26146368,"SRR26146368_Porites_lutea,_replicate_3,_phenol_extraction,_shallow_sequencing"
SRR9182860	,"SRR9182860	_Porites_lutea,_replicate_1,_soil_extraction"
SRR9182867	,"SRR9182867	_Porites_lutea,_replicate_1,_ultraclean_extraction"
SRR26146366,SRR26146366_Metagenome_of_seawater:_Pandora_Reef_replicate_1
SRR26146384,SRR26146384_Metagenome_of_Acropora_kenti:_Fitzroy_Island_replicate_1
SRR9182862,SRR9182862_seawater_sample_5
SRR9219373,"SRR9219373_Porites_lutea,_replicate_3,_phenol_extraction,_deep_sequencing_1,_chunk_4"
SRR9182858,SRR9182858_seawater_sample_1
SRR9182871,SRR9182871_seawater_sample_4
SRR9219377	,"SRR9219377	_Porites_lutea,_replicate_3,_phenol_extraction,_deep_sequencing_2,_chunk_4"
SRR9182859	,SRR9182859	_seawater_sample_2
SRR26146379	,SRR26146379	_Metagenome_of_Acropora_kenti:_Pelorus_Island_replicate_4
SRR9182872,SRR9182872_seawater_sample_3
SRR26146373,SRR26146373_Metagenome_of_Acropora_kenti:_Magnetic_Island_replicate_2
SRR9219375,"SRR9219375_Porites_lutea,_replicate_3,_phenol_extraction,_deep_sequencing_2,_chunk_2"
SRR9219374,"SRR9219374_Porites_lutea,_replicate_3,_phenol_extraction,_deep_sequencing_2,_chunk_1"
SRR9219376	,"SRR9219376	_Porites_lutea,_replicate_3,_phenol_extraction,_deep_sequencing_2,_chunk_3"
SRR26146362	,SRR26146362	_Metagenome_of_Acropora_kenti:_Russell_Island_replicate_1
SRR9219370	,"SRR9219370	_Porites_lutea,_replicate_3,_phenol_extraction,_deep_sequencing_1,_chunk_1"
SRR9219371,"SRR9219371_Porites_lutea,_replicate_3,_phenol_extraction,_deep_sequencing_1,_chunk_2"
SRR9219372,"SRR9219372_Porites_lutea,_replicate_3,_phenol_extraction,_deep_sequencing_1,_chunk_3"
SRR26146376,SRR26146376_Metagenome_of_Acropora_kenti:_Pandora_Reef_replicate_3
SRR9182857,SRR9182857_Porites_lutea_sequenced_prior_to_microbial_enrichment
,_
,_
,_
,_
